1|Red Rising |23-Feb-2017|https://www.barnesandnoble.com/w/red-rising-pierce-brown/1110614785;jsessionid=D38CB8A159DF7F5062FB9CBE617160EB.prodny_store01-atgap06?ean=9781984819314#/|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
2|IT|25-Jul-2017|https://www.easons.com/it-stephen-king-9781473666948|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
3|HARRY POTTER AND THE CURSED CHILD|01-Jul-2017|https://www.easons.com/harry-potter-and-the-cursed-child-jk-rowling-9780751565362|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0
4|Age of War|03-Jul-2017|https://www.barnesandnoble.com/w/age-of-war-michael-j-sullivan/1128372155?ean=9781101965399|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0
5|Lost Gods|12-Jul-2017|https://www.barnesandnoble.com/w/lost-gods-micah-yongo/1126718072?ean=9780857667373#/|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|1|0|0
6|Star Wars: The Rebel Files|22-Jan-2017|https://www.barnesandnoble.com/w/star-wars-daniel-wallace/1126944253?ean=9781452170145#/)|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
7|Thrawn: Alliances (Star Wars)|10-Feb-2017|https://www.barnesandnoble.com/w/thrawn-timothy-zahn/1127203904?ean=9781984817617#/|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0
8|Redemption's Blade: After The War|12-Oct-2017|https://www.barnesandnoble.com/w/redemptions-blade-adrian-tchaikovsky/1127273337?ean=9781781085790#/|0|0|0|0|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0
9|Record of a Spaceborn Few|03-Jan-2017|https://www.barnesandnoble.com/w/record-of-a-spaceborn-few-becky-chambers/1127088154?ean=9780062699220|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
10|Kill the Farm Boy: The Tales of Pell|01-Feb-2017|https://www.barnesandnoble.com/w/kill-the-farm-boy-kevin-hearne/1127329861?ean=9781524797744#/|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0
